id,provider,provider_id,lon,lat
1000290,1,02455402,-86.716105,33.89232218
1000291,1,15053188,-134.5715029,58.388563
1000292,1,09504800,-111.8812652,34.71252108
1000293,1,09512180,-111.9745899,33.4600442
1000294,1,321406111015701,-111.0331498,32.2350759
1000295,1,09423400,-114.882749,34.8569458
1000296,1,16075000,-159.3474639,22.0846361
1000297,1,16569700,-156.2305222,20.83764722
1000298,1,03341900,-87.6861376,39.14337347
1000299,1,07375350,-90.4723169,30.93351379
1000300,1,01022295,-68.1031694,44.858575
1000301,1,443349069445800,-69.7489371,44.56367639
1000302,1,01589462,-76.6185793,39.3551067
1000303,1,01104673,-71.1117192,42.37370806
1000304,1,05288696,-93.3547222,45.0822222
1000305,1,05320200,-93.9593985,44.1246885
1000306,1,07286047,-90.191753,33.7584492
1000307,1,0728711620,-90.2383333,33.40916667
1000308,1,404247097104000,-97.1780968,40.71306197
1000309,1,01348930,-74.8180556,42.90138889
1000310,1,01348932,-74.81638889,42.90194444
1000311,1,0421344420,-78.6505816,42.45395136
1000312,1,04213446,-78.6544706,42.4542291
1000313,1,04220162,-78.3414127,43.25894706
1000314,1,04220422,-77.8780556,42.07666667
1000315,1,02115842,-80.245,36.09455556
1000316,1,02120507,-80.6508989,35.73402855
1000317,1,360346078543501,-78.9095972,36.06263889
1000318,1,03110980,-80.8120291,40.3322902
1000319,1,03140030,-81.8029087,40.3575684
1000320,1,07327438,-97.7864297,35.07756619
1000321,1,0147212511,-75.77488889,40.20366667
1000322,1,01570988,-76.8096937,40.33203289
1000323,1,01570992,-76.8077493,40.31175547
1000324,1,01576335,-76.1810608,40.19759378
1000325,1,016141336,-77.7414167,40.0148611
1000326,1,03073012,-80.0520004,39.9553522
1000327,1,034345923,-87.2675088,36.10200397
1000328,1,03520034,-84.5049301,35.55007418
1000329,1,0359816905,-86.4444379,35.56729314
1000330,1,07030241,-89.4878524,35.43230499
1000331,1,360607087160300,-87.2675088,36.10200397
1000332,1,08128990,-100.9884389,31.17861667
1000333,1,08143880,-100.5583333,30.85527778
1000334,1,0164593423,-77.2964444,38.99344444
1000335,1,0165379148,-77.1436944,38.73069444
1000336,1,0166816046,-77.2896222,38.20025556
1000337,1,12016350,-123.628495,46.85037535
1000338,1,12078655,-122.9604213,47.0934294
1000339,1,441520088045002,-88.0805833,44.25563889
1000340,1,16940000,-170.7314944,-14.30254722
1000341,1,16960500,-170.6389944,-14.27755
1000342,1,16809800,144.6626944,13.29921667
1000343,1,494353093442900,-93.7413889,49.73138889
1000344,1,0204228775,-77.3916479,37.62125598
1000345,1,01022294,-68.10396389,44.85909167
1000346,1,0166235582,-78.2791667,38.75694444
1000347,1,01662358,-78.2730577,38.75817309
1000348,1,0166261935,-78.2679167,38.75527778
1000349,1,0165398550,-77.2268361,38.85505
1000350,1,0203853030,-77.42359399,37.42153697
1000351,1,02113540,-80.5345101,36.63846879
1000352,1,0166261938,-78.2674722,38.75538889
1000353,1,0204275415,-76.8180169,37.37153539
1000354,1,01135080,-72.1610556,44.492
1000355,1,09396200,-109.2859326,35.07169385
1000356,1,312055110162502,-110.2736111,31.3487222
1000357,1,07348630,-93.2312787,33.31234868
1000358,1,09429240,-114.7799608,33.33892078
1000359,1,10255820,-116.3508454,33.1472647
1000360,1,10264520,-118.3264675,34.63082047
1000361,1,10264680,-117.700613,34.37444463
1000362,1,11032100,-116.6555752,33.26809346
1000363,1,11257800,-119.8523784,37.14994715
1000364,1,11454020,-122.0427482,38.50824036
1000365,1,364818119443800,-119.7448658,36.80494977
1000366,1,08227400,-106.2189153,38.0455559
1000367,1,01184259,-72.61286748,41.9089864
1000368,1,02352964,-84.2340762,31.59656186
1000369,1,16283600,-157.86725,21.44323056
1000370,1,16283700,-157.8689167,21.44350833
